Bus Monitor Log File,,,,
Date: 7/27/2021 2:33:17 PM,,,,
 ,,,,
---------------------------------------------------,,,,
 ,,,,
Date, ID, Counts, Data, MsgType
31:51.7,0x265,CAN 1,23,FA 20 00 00 00 00 00 0E 
31:51.7,0x168,CAN 1,128,67 00 C8 00 00 00 00 07 
31:51.7,0x265,CAN 1,24,E7 20 00 00 00 00 00 0F 
31:51.7,0x271,CAN 1,24,FA 00 00 00 00 00 00 4F 
31:51.7,0x168,CAN 1,129,DC 00 C8 00 00 00 00 08 
31:51.7,0x271,CAN 1,25,41 00 00 00 00 00 00 40 
31:51.7,0x265,CAN 1,25,5C 20 00 00 00 00 00 00 
31:51.7,0x168,CAN 1,130,C1 00 C8 00 00 00 00 09 
31:51.7,0x271,CAN 1,26,5C 00 00 00 00 00 00 41 
31:51.7,0x265,CAN 1,26,41 20 00 00 00 00 00 01 
31:51.7,0x168,CAN 1,131,E6 00 C8 00 00 00 00 0A 
31:51.7,0x271,CAN 1,27,7B 00 00 00 00 00 00 42 
31:51.7,0x265,CAN 1,27,66 20 00 00 00 00 00 02 
31:51.7,0x168,CAN 1,132,FB 00 C8 00 00 00 00 0B 
31:51.8,0x271,CAN 1,28,66 00 00 00 00 00 00 43 
31:51.8,0x265,CAN 1,28,7B 20 00 00 00 00 00 03 
31:51.8,0x168,CAN 1,133,A8 00 C8 00 00 00 00 0C 
31:51.8,0x265,CAN 1,29,28 20 00 00 00 00 00 04 
31:51.8,0x271,CAN 1,29,35 00 00 00 00 00 00 44 
31:51.8,0x168,CAN 1,134,B5 00 C8 00 00 00 00 0D 
31:51.8,0x265,CAN 1,30,35 20 00 00 00 00 00 05 
31:51.8,0x271,CAN 1,30,28 00 00 00 00 00 00 45 
31:51.8,0x168,CAN 1,135,92 00 C8 00 00 00 00 0E 
31:51.8,0x265,CAN 1,31,12 20 00 00 00 00 00 06 
31:51.8,0x271,CAN 1,31,0F 00 00 00 00 00 00 46 
31:51.8,0x168,CAN 1,136,34 00 C8 00 00 00 00 00 
31:51.8,0x265,CAN 1,32,0F 20 00 00 00 00 00 07 
31:51.8,0x271,CAN 1,32,12 00 00 00 00 00 00 47 
31:51.8,0x168,CAN 1,137,29 00 C8 00 00 00 00 01 
31:51.9,0x271,CAN 1,33,A9 00 00 00 00 00 00 48 
31:51.9,0x265,CAN 1,33,B4 20 00 00 00 00 00 08 
31:51.9,0x168,CAN 1,138,0E 00 C8 00 00 00 00 02 
31:51.9,0x271,CAN 1,34,B4 00 00 00 00 00 00 49 
31:51.9,0x265,CAN 1,34,A9 20 00 00 00 00 00 09 
31:51.9,0x168,CAN 1,139,13 00 C8 00 00 00 00 03 
31:51.9,0x271,CAN 1,35,93 00 00 00 00 00 00 4A 
31:51.9,0x265,CAN 1,35,8E 20 00 00 00 00 00 0A 
31:51.9,0x168,CAN 1,140,40 00 C8 00 00 00 00 04 
31:51.9,0x271,CAN 1,36,8E 00 00 00 00 00 00 4B 
31:51.9,0x265,CAN 1,36,93 20 00 00 00 00 00 0B 
31:51.9,0x168,CAN 1,141,5D 00 C8 00 00 00 00 05 
31:51.9,0x265,CAN 1,37,C0 20 00 00 00 00 00 0C 
31:51.9,0x271,CAN 1,37,DD 00 00 00 00 00 00 4C 
31:51.9,0x168,CAN 1,142,7A 00 C8 00 00 00 00 06 
31:52.0,0x265,CAN 1,38,DD 20 00 00 00 00 00 0D 
31:52.0,0x271,CAN 1,38,C0 00 00 00 00 00 00 4D 
31:52.0,0x168,CAN 1,143,67 00 C8 00 00 00 00 07 
31:52.0,0x265,CAN 1,39,FA 20 00 00 00 00 00 0E 
31:52.0,0x271,CAN 1,39,E7 00 00 00 00 00 00 4E 
31:52.0,0x168,CAN 1,144,DC 00 C8 00 00 00 00 08 
31:52.0,0x265,CAN 1,40,E7 20 00 00 00 00 00 0F 
31:52.0,0x271,CAN 1,40,FA 00 00 00 00 00 00 4F 
31:52.0,0x168,CAN 1,145,C1 00 C8 00 00 00 00 09 
31:52.0,0x265,CAN 1,41,5C 20 00 00 00 00 00 00 
31:52.0,0x271,CAN 1,41,41 00 00 00 00 00 00 40 
31:52.0,0x168,CAN 1,146,E6 00 C8 00 00 00 00 0A 
31:52.0,0x265,CAN 1,42,41 20 00 00 00 00 00 01 
31:52.0,0x271,CAN 1,42,5C 00 00 00 00 00 00 41 
31:52.0,0x168,CAN 1,147,FB 00 C8 00 00 00 00 0B 
31:52.1,0x265,CAN 1,43,66 20 00 00 00 00 00 02 
31:52.1,0x271,CAN 1,43,7B 00 00 00 00 00 00 42 
31:52.1,0x168,CAN 1,148,A8 00 C8 00 00 00 00 0C 
31:52.1,0x265,CAN 1,44,7B 20 00 00 00 00 00 03 
31:52.1,0x271,CAN 1,44,66 00 00 00 00 00 00 43 
31:52.1,0x168,CAN 1,149,B5 00 C8 00 00 00 00 0D 
31:52.1,0x271,CAN 1,45,35 00 00 00 00 00 00 44 
31:52.1,0x265,CAN 1,45,28 20 00 00 00 00 00 04 
31:52.1,0x168,CAN 1,150,92 00 C8 00 00 00 00 0E 
31:52.1,0x271,CAN 1,46,28 00 00 00 00 00 00 45 
31:52.1,0x265,CAN 1,46,35 20 00 00 00 00 00 05 
31:52.1,0x168,CAN 1,151,34 00 C8 00 00 00 00 00 
31:52.1,0x271,CAN 1,47,0F 00 00 00 00 00 00 46 
31:52.1,0x265,CAN 1,47,12 20 00 00 00 00 00 06 
31:52.1,0x168,CAN 1,152,29 00 C8 00 00 00 00 01 
31:52.2,0x271,CAN 1,48,12 00 00 00 00 00 00 47 
31:52.2,0x265,CAN 1,48,0F 20 00 00 00 00 00 07 
